,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,DENDenver Nuggets,70,15.44,6.71,2.65,1.13,0.88,0.75,1.89,30.47
,
,PFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,GSWGolden State Warriors,69,26.62,12.08,5.45,3.5,1.29,1.81,2.85,55.74
,PORPortland Trail Blazers,70,27.57,8.45,5.07,3.38,2.19,1.18,1.01,54.42
,ATLAtlanta Hawks,69,23.19,9.11,4.69,2.2,1.93,2.48,1.93,52.46
,LACLos Angeles Clippers,69,25.59,10.23,6.35,1.76,1.41,0.7,1.76,51.96
,MEMMemphis Grizzlies,71,22.06,10.38,5.07,1.88,2.12,1.77,2.83,50.96
,TORToronto Raptors,70,25.31,8.66,4.24,2.54,1.86,1.86,2.71,50.51
,LALLos Angeles Lakers,70,24.91,11.43,5.58,2.17,0.95,0.81,1.9,50.38
,BKNBrooklyn Nets,70,23.87,10.98,4.75,1.79,1.58,1.05,2,50.06
,DETDetroit Pistons,70,20.25,9.5,4.82,2.89,2.2,1.37,1.1,48.49
,CLECleveland Cavaliers,70,25.77,11.18,3.54,2.72,1.22,0.54,2.04,47.74
,PHIPhiladelphia 76ers,70,22.8,11.22,5.26,1.75,1.4,1.28,4.91,47.28
,WASWashington Wizards,70,24.72,8,3.65,2.08,2.26,1.21,2.95,47.26
,CHIChicago Bulls,70,22.73,9.98,4.3,1.84,1.38,1.38,2.3,47.14
,DENDenver Nuggets,70,23.27,9.77,4.88,2.58,1.14,1.14,2.29,46.86
,NYKNew York Knicks,69,22.3,9.62,3.06,1.16,1.74,1.45,1.6,46.4
,SACSacramento Kings,69,20.69,11.21,4.61,1.86,2.11,0.87,3.73,46.27
,HOUHouston Rockets,69,22.5,11.09,3.42,1.63,1.63,0.81,2.28,45.98
,INDIndiana Pacers,71,23.13,9.1,3.41,2.27,1.76,1.01,2.65,44.83
,PHOPhoenix Suns,70,23.01,8.41,3.54,3.32,1.99,0.66,1.99,44.37
,UTHUtah Jazz,70,18.46,7.35,5.7,2.55,1.95,1.35,2.1,43.63
,NORNew Orleans Pelicans,70,21.69,9.17,3.87,2.82,0.88,1.05,1.76,42.53
,OKCOklahoma City Thunder,69,16.54,9.94,4.19,1.43,1.55,1.67,1.91,42.5
,SASSan Antonio Spurs,70,17.12,9.37,4.62,1.63,1.35,0.95,1.22,40.97
,BOSBoston Celtics,70,22.2,10.21,2.91,2.43,0.64,0.81,2.43,40.74
,CHACharlotte Hornets,69,18.43,9.59,3.73,2.11,1.61,0.99,2.74,40.59
,DALDallas Mavericks,70,21.31,7.61,4.39,2.19,1.35,0.67,2.53,40.56
,MINMinnesota Timberwolves,70,19.02,9.99,3.33,1.58,1.11,0.95,3.17,39.01
,MILMilwaukee Bucks,70,14.82,10.39,3.6,2.35,1.1,0.83,1.52,36.96
,ORLOrlando Magic,70,16.8,7.99,3.48,0.81,1.63,0.71,2.86,35.77
,MIAMiami Heat,70,14.18,10.26,3.16,1.35,0.6,1.05,1.96,34.22
,
,C
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,TORToronto Raptors,70,29.15,19.38,6.46,1.26,2.36,1.73,2.67,71.7
,UTHUtah Jazz,70,31.65,16.03,6.49,1.42,1.62,2.23,1.82,70.35
,MEMMemphis Grizzlies,71,26.54,16,5.85,1.17,0.97,2.92,4.09,62.1
,MINMinnesota Timberwolves,70,25.64,18.91,3,0.57,1.43,1.86,2.29,60.41
,DETDetroit Pistons,70,22.89,14.75,4.91,1.32,2.08,2.64,2.08,60.04
,GSWGolden State Warriors,69,24.88,14.13,2.82,1.13,1.5,3.58,2.26,59.05
,LALLos Angeles Lakers,70,19.67,14.92,7.8,1.86,2.03,1.86,2.54,58.4
,SASSan Antonio Spurs,70,27.07,12.29,4.45,0.89,1.95,2.13,3.2,57.53
,BKNBrooklyn Nets,70,26.94,13.89,3.42,1.06,1.06,2.56,2.56,57.04
,WASWashington Wizards,70,28.58,15.49,2.4,1.05,0.6,1.8,2.7,55.27
,DENDenver Nuggets,70,24.72,14.01,3.5,0.77,0.97,2.33,2.14,54.54
,HOUHouston Rockets,69,23.54,14.65,4.88,1.22,1.39,2.09,4.36,54.52
,PORPortland Trail Blazers,70,20.29,15.8,3.32,1.16,1.99,2.32,2.82,54.34
,MIAMiami Heat,70,23.33,18.93,3.82,0.76,0.76,1.14,3.44,54.04
,NORNew Orleans Pelicans,70,21.92,15.74,2.94,0.73,1.17,2.35,2.06,53.72
,ATLAtlanta Hawks,69,22.96,15.55,2.96,0.74,1.33,2.07,2.96,53.3
,PHOPhoenix Suns,70,22.03,14.81,2.96,1.85,2.03,1.29,0.92,53.28
,PHIPhiladelphia 76ers,70,19.88,16.96,4.62,1.54,1.02,1.88,2.74,53.12
,CHIChicago Bulls,70,26.58,13.21,3.61,1.1,0.62,1.73,2.2,52.7
,CHACharlotte Hornets,69,20.96,17.72,3.23,0.34,0.85,1.87,3.58,51.65
,DALDallas Mavericks,70,20.31,15.89,4.59,0.7,0.88,1.76,3.17,51.01
,INDIndiana Pacers,71,19.59,16.93,3.44,0.47,1.25,1.41,2.35,50.7
,MILMilwaukee Bucks,70,24.21,11.4,5.44,0.35,1.05,1.05,1.75,50.6
,SACSacramento Kings,69,18.93,12.13,4.41,0.91,0.91,2.57,2.57,47.97
,OKCOklahoma City Thunder,69,23.04,11.69,4.64,2.06,1.03,1.89,4.98,47.81
,LACLos Angeles Clippers,69,19.32,13.42,3.76,1.14,1.31,1.63,2.45,47.43
,CLECleveland Cavaliers,70,18.88,14.11,2.86,1.33,0.76,2.09,1.9,46.75
,BOSBoston Celtics,70,20.29,14.3,3.66,1.33,0.33,1.49,2.82,45.58
,NYKNew York Knicks,69,19.74,12.66,3.91,0.93,0.55,1.3,3.53,42.82
,ORLOrlando Magic,70,14.09,11.06,3.9,0.43,1.08,2.6,3.47,40.78
