,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,MEMMemphis Grizzlies,61,20.34,9.98,3.86,1.82,1.61,0.42,2.52,41.68
,ORLOrlando Magic,61,20.22,9.27,3.8,1.72,0.83,1.18,3.03,40.04
,MINMinnesota Timberwolves,61,20.78,7.83,2.97,2,1.1,0.97,2.2,38.64
,BOSBoston Celtics,60,18.23,8.61,4.03,2.01,0.77,0.59,1.87,36.82
,
,C
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,UTHUtah Jazz,61,29.14,14.93,3.97,0.97,1.76,2.54,2.34,63.57
,WASWashington Wizards,60,27.18,17.63,5.55,0.57,0.81,2.36,3.26,62.91
,OKCOklahoma City Thunder,60,25.01,19.42,5.67,1.27,0.95,2.07,3.27,62.61
,GSWGolden State Warriors,60,22.84,16.79,5.16,0.61,2.1,2.58,2.78,61.99
,DALDallas Mavericks,61,29.11,14.26,4.08,2.08,1.33,2.66,2.33,61.98
,MEMMemphis Grizzlies,61,25.66,14.72,4.78,1.35,1.14,2.93,2.57,60.13
,PORPortland Trail Blazers,59,26.12,15.1,4.65,1.22,1.38,2.53,2.85,60.1
,LALLos Angeles Lakers,62,23.76,15.5,4.68,1.03,1.17,3.1,2.75,59.44
,TORToronto Raptors,61,22.82,16.61,3.95,0.88,1.2,3.38,3.46,58.96
,SASSan Antonio Spurs,61,27.32,15.35,3.31,0.95,1.01,2.48,2.42,58.76
,DENDenver Nuggets,61,25.01,13.75,5.24,1.21,1.98,2.04,3.19,58.24
,DETDetroit Pistons,60,20.63,16.82,4.86,0.56,1.68,2.55,3.11,57.68
,HOUHouston Rockets,60,26.67,13.09,3.78,2.14,1.23,3.21,4.19,57.18
,CHACharlotte Hornets,61,20.44,16.35,4,1.12,1.44,2.72,1.84,56.7
,INDIndiana Pacers,62,22.87,16.05,5.45,0.56,1.2,2.16,3.77,56.62
,SACSacramento Kings,59,22.96,12.98,6.49,0.41,1.7,1.64,1.84,56.45
,BKNBrooklyn Nets,60,23.89,13.61,4.11,1.39,1.33,2.84,2.9,56
,NORNew Orleans Pelicans,61,23.76,14.85,4.08,0.89,1.26,2.45,3.26,55.57
,CLECleveland Cavaliers,60,19.26,18.09,3.66,0.65,1.17,2.63,2.78,55.08
,PHIPhiladelphia 76ers,60,23.6,13.74,4.16,0.73,1.02,2.33,1.82,54.56
,PHOPhoenix Suns,61,19.62,14.26,5.36,0.14,2.11,1.76,2.4,53.98
,MILMilwaukee Bucks,61,22.68,15.51,5.05,1.19,1.33,1.19,2.59,53.84
,LACLos Angeles Clippers,59,19.88,16.24,4.15,0.87,1.6,1.74,2.4,53.21
,MINMinnesota Timberwolves,61,20.2,14.86,3.47,1.37,1.05,2.26,2.74,50.43
,BOSBoston Celtics,60,22.44,13.96,4.04,1.11,1.03,1.42,2.37,50.23
,ATLAtlanta Hawks,60,19.45,15.06,3.97,0.82,0.95,1.98,2.46,49.81
,MIAMiami Heat,60,19.69,15.07,3.95,1,0.53,1.33,2.27,47.01
,NYKNew York Knicks,61,17.81,12.24,4.17,0.39,0.86,2.25,2.18,45.9
,CHIChicago Bulls,60,19.27,12.52,3.72,0.89,0.83,1.54,1.47,45.51
,ORLOrlando Magic,61,19.59,12.03,2.54,0.6,1.47,1.53,2.34,44.5
