,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,CHACharlotte Hornets,59,21.83,16.69,3.95,1.19,1.41,2.53,2.01,57.59
,DENDenver Nuggets,59,24.9,13.59,5.15,1.27,2,1.94,3.41,57.34
,SACSacramento Kings,58,23.08,12.89,6.66,0.36,1.83,1.53,1.9,56.72
,HOUHouston Rockets,58,26.42,12.17,3.64,2.15,1.24,3.23,3.56,56.33
,PHIPhiladelphia 76ers,58,24.08,14.4,4.52,0.75,1.16,2.05,1.85,55.92
,MILMilwaukee Bucks,60,23.16,15.89,5.06,1.14,1.35,1.42,2.7,55.43
,BKNBrooklyn Nets,59,23.68,13.9,4.13,1.43,1.19,2.57,2.87,54.97
,NORNew Orleans Pelicans,60,23.88,14.24,4.02,1.29,1.29,2.15,3.16,54.16
,LACLos Angeles Clippers,57,20.84,15.23,4.4,0.89,1.71,1.79,2.31,53.91
,PHOPhoenix Suns,58,19.24,13.89,5.19,0.21,2.12,1.9,2.26,53.49
,INDIndiana Pacers,60,21.55,15.05,5.46,0.23,1.5,1.58,3.56,53.48
,MINMinnesota Timberwolves,59,21.78,14.6,3.54,1.6,1.43,2.44,3.12,53.1
,CLECleveland Cavaliers,58,18.95,17.74,3.3,0.67,1.12,2.48,3,52.99
,ATLAtlanta Hawks,59,19.42,15.23,3.88,0.74,0.97,2.09,2.53,50.17
,BOSBoston Celtics,58,22.38,14.17,3.99,1.05,0.9,1.43,2.33,50.03
,MIAMiami Heat,58,19.98,14.81,3.93,1.31,0.52,1.31,2.29,46.85
,CHIChicago Bulls,59,19.17,12.97,4.07,0.62,0.81,1.62,1.44,46.69
,NYKNew York Knicks,60,18.78,12.76,3.56,0.58,0.77,2.07,2.52,45.43
,ORLOrlando Magic,60,19.28,12.32,2.65,0.53,1.45,1.65,2.31,45.03
