,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,TORToronto Raptors,57,23.72,10.69,4.82,2.03,1.39,1.39,1.74,50.38
,LALLos Angeles Lakers,59,24.86,11.57,4.7,2.38,1.16,0.94,2.27,49.82
,SACSacramento Kings,56,25.56,10.7,4.73,2.29,1.43,1.06,3.19,49.78
,DENDenver Nuggets,58,25.38,12.09,3.72,2.26,1.18,0.86,1.94,49.65
,NORNew Orleans Pelicans,58,25.97,10.78,4.8,2.9,1.22,0.78,2.62,49.49
,INDIndiana Pacers,58,24.22,10.63,4.76,1.65,1.3,1.35,2.9,49.17
,GSWGolden State Warriors,56,23.4,10.19,4.87,1.8,1.69,1.09,2.19,49.08
,NYKNew York Knicks,57,26.76,9,4.88,3.4,1.32,0.96,3,48.72
,CHIChicago Bulls,57,25.25,9.54,4.03,3.1,1.39,1.48,3.01,48.34
,PHOPhoenix Suns,58,25.67,9.5,3.89,2.42,1.82,0.82,2.53,48.3
,CHACharlotte Hornets,57,22.56,11.76,3.86,1.93,1.19,1.36,2.33,47.78
,MIAMiami Heat,56,23.77,10.36,5.32,2.63,0.97,1.08,2.63,47.7
,SASSan Antonio Spurs,58,20.52,10.52,4.82,1.82,1.47,1.64,2.64,47.06
,PORPortland Trail Blazers,56,23.16,9.19,4.19,1.61,1.69,1.1,3.3,45.54
,MEMMemphis Grizzlies,57,21.46,10.43,4.23,1.42,1.72,0.73,2.55,45.12
,CLECleveland Cavaliers,56,21.96,10.92,4.17,1.88,0.91,0.91,2.34,44.44
,OKCOklahoma City Thunder,57,20.63,10.01,4.66,1.96,1.55,0.74,2.63,43.87
,MILMilwaukee Bucks,58,23.21,10.12,2.96,3.32,1.08,0.94,2.6,43.25
,LACLos Angeles Clippers,56,19.03,10.63,4.82,1.41,0.97,1.13,2.11,43.21
,MINMinnesota Timberwolves,57,22.85,9.15,3.39,2.16,0.94,0.88,2.23,42.15
,ORLOrlando Magic,58,19.87,9.15,4.13,1.73,0.78,1.22,2.79,40.26
,BOSBoston Celtics,57,18.82,8,3.95,2.33,0.95,0.52,1.71,37.05
,
,C
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,UTHUtah Jazz,58,31.32,15.59,4.6,1.16,1.78,2.81,2.33,68.37
,PORPortland Trail Blazers,56,27.61,15.83,5.35,1.14,1.22,2.67,2.37,63.93
,GSWGolden State Warriors,56,24.63,15.98,5.58,0.83,1.95,2.86,3.41,63.2
,MEMMemphis Grizzlies,57,25.39,15.32,5.03,1.33,1.18,2.96,2.14,61.6
,WASWashington Wizards,57,26.01,17.31,4.79,0.67,0.74,2.39,2.84,60.52
,DETDetroit Pistons,56,21.1,17.24,4.73,0.54,1.82,2.97,3.04,60.21
,CHACharlotte Hornets,57,22.49,17.1,4.38,1.15,1.29,2.44,2.15,58.62
,SASSan Antonio Spurs,58,27.24,14.86,3.19,0.82,1.14,2.48,2.48,58.24
,TORToronto Raptors,57,23.95,15.96,3.72,0.85,1.31,2.79,2.86,58.12
,OKCOklahoma City Thunder,57,24.16,17.85,5.07,1.06,0.81,1.88,3.19,58.07
,LALLos Angeles Lakers,59,20.83,15.82,4.87,0.93,1.4,2.93,2.6,57.51
,DENDenver Nuggets,58,25.4,13.59,4.94,1.3,1.99,1.92,3.36,57.49
,PHIPhiladelphia 76ers,57,24.46,14.54,4.7,0.94,1.15,2.17,1.95,56.97
,MILMilwaukee Bucks,58,23.99,15.79,5.42,1.11,1.25,1.39,2.64,56.35
,DALDallas Mavericks,57,25.3,14.57,3.99,1.72,1.25,2.19,3.05,56.04
,HOUHouston Rockets,57,26.28,12.26,3.76,2.08,1.2,3.04,3.36,55.99
,INDIndiana Pacers,58,23.82,15.02,5.61,0.53,1.36,1.59,3.64,55.47
,NORNew Orleans Pelicans,58,24.5,14.36,3.94,1.36,1.22,2.38,2.99,55.45
,BKNBrooklyn Nets,56,22.83,14.12,4.17,1.41,0.98,2.88,2.57,55.04
,LACLos Angeles Clippers,56,21.62,15.32,4.47,0.91,1.59,1.59,2.27,53.98
,SACSacramento Kings,56,21.61,12.83,5.82,0.29,1.47,1.77,1.69,53.77
,PHOPhoenix Suns,58,19.24,13.89,5.19,0.21,2.12,1.9,2.26,53.49
,ATLAtlanta Hawks,57,19.7,15.49,4.21,0.75,1.12,1.95,2.4,51.41
,BOSBoston Celtics,57,23.11,14.28,4.63,0.88,0.95,1.32,2.72,51.28
,CLECleveland Cavaliers,56,18.08,16.61,3.39,0.66,1.25,2.28,2.95,50.74
,MINMinnesota Timberwolves,57,19.66,13.64,3.47,1.35,1.18,2.28,2.79,48.82
,CHIChicago Bulls,57,20.52,12.9,4.23,0.84,0.84,1.49,1.36,47.98
,ORLOrlando Magic,58,19.9,12.49,2.8,0.6,1.53,1.8,2.33,46.75
,MIAMiami Heat,56,20.49,14.51,3.24,1.33,0.5,1.33,2.03,46.22
,NYKNew York Knicks,57,18.55,12.17,3.35,0.59,0.98,2.17,2.82,44.81
