,PGS,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,SASSan Antonio Spurs,56,20.18,11.12,5.03,1.53,1.47,1.71,2.48,49.01
,DENDenver Nuggets,56,23.76,11.27,3.5,2.03,1.01,0.91,1.47,48.72
,CHACharlotte Hornets,55,25.59,11.4,3.46,2.44,1.02,1.19,2.09,51.13
,HOUHouston Rockets,55,25.99,11.66,4.87,2.71,1.45,2.31,2.26,57.12
,PHIPhiladelphia 76ers,55,21.26,12.73,5.76,2.1,0.9,1.68,2.58,52.23
,,,,,,,,,,
,C,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,HOUHouston Rockets,55,23.67,11.94,3.39,1.76,1.27,3.39,3.39,53.69
,ORLOrlando Magic,56,22.12,12.22,2.85,0.66,1.66,1.52,2.65,48.54
,NYKNew York Knicks,56,19.08,12.56,3.56,0.4,1.2,2.48,3.15,47.61
,SACSacramento Kings,55,21.12,12.88,5.66,0.29,1.1,1.47,1.47,51.76
,CHIChicago Bulls,56,20.06,12.92,4.67,0.75,0.96,1.37,1.44,49.03
,DENDenver Nuggets,56,26.44,12.99,5.04,1.68,1.74,1.87,3.03,58.28
,MINMinnesota Timberwolves,55,19.19,13.13,3.83,1.1,1.19,2.38,2.64,49.22
,BOSBoston Celtics,56,25.75,13.79,5.13,1.22,0.99,1.3,3.06,55.84
,PHIPhiladelphia 76ers,55,26,13.91,4.68,1.11,1.11,1.81,2.37,57.12
,BKNBrooklyn Nets,55,23.44,14.05,4.4,1.34,1.02,2.68,2.36,55.99
,MIAMiami Heat,55,20.29,14.25,3.4,1.47,0.51,1.41,1.86,48.35
,GSWGolden State Warriors,54,21.34,14.46,5.05,0.77,1.68,2.87,3.08,56.44
,PHOPhoenix Suns,56,19.83,14.47,5.65,0.36,1.98,1.76,2.27,54.42
,NORNew Orleans Pelicans,56,20.99,14.54,4.21,1.11,0.98,2.5,2.83,53.08
,DALDallas Mavericks,56,24.91,14.68,4.6,1.56,1.24,2.26,2.89,58
,SASSan Antonio Spurs,56,29.14,14.8,2.89,0.92,1.11,2.23,2.49,59.37
,UTHUtah Jazz,57,31.39,14.96,4.64,1.31,1.66,2.63,2.42,66.58
,ATLAtlanta Hawks,55,20.5,14.98,3.7,0.75,1.36,1.66,2.64,51.37
,LACLos Angeles Clippers,54,19.96,14.98,3.56,0.66,1.26,1.85,2,51.08
,INDIndiana Pacers,57,23.07,15.18,5.6,0.51,1.1,1.84,3.76,56.2
,LALLos Angeles Lakers,57,20.61,15.23,3.82,0.71,1.03,2.52,2.52,53.07
,MILMilwaukee Bucks,56,24.58,15.27,5.29,1.4,1.4,1.54,2.61,58.38
,TORToronto Raptors,56,24.74,15.57,4.2,0.84,1.29,2.82,2.44,59.42
,CHACharlotte Hornets,55,23.76,15.58,4.48,1.06,1.13,2.2,2.06,57.62
,MEMMemphis Grizzlies,56,25.76,15.84,5.1,1.38,1.45,2.91,2.26,62.99
,PORPortland Trail Blazers,54,27.1,15.86,4.38,1.53,1.15,2.84,2.38,62.55
,OKCOklahoma City Thunder,55,23.61,16.29,4.8,1.29,0.64,2.44,3.08,57.94
,CLECleveland Cavaliers,54,17.52,16.56,3.44,0.65,1.46,2.12,3.15,50.79
,DETDetroit Pistons,55,20.52,16.72,4.66,0.46,1.79,2.79,3.13,57.74
,WASWashington Wizards,55,26.17,16.95,4.38,0.66,0.96,2.75,2.9,61.73
